Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.440	-0.0112	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.560	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.600	-0.0117	-0.0596	0.9976	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03006	0.00406	0.06775
 2000-0-0 2:4:49.680	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.680	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.680	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.820	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00409	0.06775
 2000-0-0 2:4:49.880	-0.0122	-0.0596	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:49.880	-0.0122	-0.0596	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:49.880	-0.0122	-0.0596	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:49.940	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:49.940	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00409	0.06775
 2000-0-0 2:4:49.940	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.120	-0.0107	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.120	-0.0107	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.120	-0.0107	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.320	-0.0132	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.400	-0.0112	-0.0596	0.9976	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.440	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.460	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.460	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.520	-0.0112	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.520	-0.0112	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.520	-0.0112	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.580	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.600	-0.0127	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.600	-0.0127	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.660	-0.0112	-0.0596	0.9976	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.760	-0.0117	-0.0601	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.760	-0.0117	-0.0601	0.9971	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.760	-0.0117	-0.0601	0.9971	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.880	-0.0107	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.880	-0.0107	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.880	-0.0107	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.880	-0.0107	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:50.880	-0.0107	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.0	-0.0112	-0.0591	0.9966	0.0	0.0	0.0	-3.093	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.40	-0.0117	-0.0591	0.998	0.0	0.0	0.0	-3.093	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.120	-0.0132	-0.0601	0.998	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.140	-0.0112	-0.0591	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.140	-0.0112	-0.0591	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.140	-0.0112	-0.0591	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.140	-0.0112	-0.0591	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.140	-0.0112	-0.0591	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.300	-0.0122	-0.0586	0.9961	0.0	0.0	0.0	-3.093	0.797	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.320	-0.0117	-0.0596	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.340	-0.0112	-0.0591	0.9971	0.0	0.0	0.0	-3.093	0.797	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
