timestep,vel_proxy_y
872,0.00069963
873,-0.00581874
874,-0.01186501
875,-0.01241040
876,-0.01514524
877,-0.01859091
878,-0.02031133
879,-0.01857857
880,-0.01782752
881,-0.01516485
882,-0.01166756
883,-0.00824010
884,-0.00626442
885,-0.00453500
886,-0.00145283
887,0.00255357
888,0.00644779
889,0.00774487
890,0.01038275
891,0.01262051
892,0.01305320
893,0.01320415
894,0.01668281
895,0.02026938
896,0.02261811
897,0.02430815
898,0.03032955
899,0.03296146
900,0.03554148
901,0.03506785
902,0.03606475
903,0.03388950
904,0.02647451
905,0.02540891
906,0.01918467
907,0.01458373
908,0.01744473
909,0.02288356
910,0.02701266
911,0.02750970
912,0.02081833
913,0.01356689
914,0.00802806
915,0.01223866
916,0.01367442
917,0.01341663
918,0.01527678
919,0.02005150
920,0.02489555
921,0.02215421
922,0.01939361
923,0.01914986
924,0.02013170
925,0.02100447
926,0.01505883
927,0.00643986
928,-0.00527665
929,-0.00747533
930,-0.00922466
931,-0.00961765
932,-0.00760316
933,-0.00683477
934,-0.00899888
935,-0.00999929
936,-0.00455789
937,-0.00275968
938,0.00643118
939,0.00798022
940,0.01339052
941,0.02116783
942,0.02905196
943,0.02749730
944,0.03283768
945,0.03514318
946,0.03115545
947,0.03708522
948,0.03684467
949,0.03543879
950,0.03739655
951,0.04229965
952,0.03043510
953,0.03111705
954,0.03102314
955,0.04121373
956,0.06753952
957,0.07858090
958,0.02402354
959,0.00062854
960,-0.01215308
961,-0.00021465
962,0.01103379
963,0.01235023
964,0.00063644
965,-0.01155617
966,-0.01634130
967,-0.01684493
968,-0.02163261
969,-0.01461840
970,-0.01583468
971,-0.01457474
972,-0.01415416
973,-0.01440974
974,-0.01630300
975,-0.00973573
976,-0.00890645
977,-0.01096984
978,-0.00703332
979,-0.00489310
980,-0.00893092
981,-0.01089604
982,-0.01078708
983,-0.01153847
984,-0.01124230
985,-0.01022850
986,-0.00894178
987,-0.00643066
988,-0.00255969
989,-0.00138482
990,0.00288954
991,0.00689441
992,0.00935194
993,0.00947983
994,0.01351634
995,0.01774259
996,0.02209700
997,0.02696937
998,0.03790748
999,0.04446160
1000,0.00580197
1001,0.02544767
1002,0.03614149
1003,0.00475900
1004,-0.00749281
1005,0.00491479
1006,0.00430748
1007,-0.01597655
1008,-0.03056145
1009,-0.04002033
1010,-0.04607890
1011,-0.04943995
1012,-0.04255174
1013,-0.03561819
1014,-0.02806330
1015,-0.02552145
1016,-0.02546426
1017,-0.01893879
1018,-0.01500170
1019,-0.01600657
1020,-0.01112096
1021,-0.00761834
1022,-0.00168094
1023,0.00118742
1024,0.00303297
1025,0.00611177
1026,-0.00067168
1027,-0.00236515
1028,-0.00036680
1029,0.00240547
1030,0.00448724
1031,0.00767352
1032,0.00951772
1033,0.01016730
1034,0.00550101
1035,0.00412255
1036,0.00329636
1037,0.00439644
1038,0.00925560
1039,0.00805796
1040,0.00690459
1041,0.00684545
1042,0.00794833
1043,0.00614118
1044,0.00987552
1045,0.01006082
1046,0.00792959
1047,0.00853935
1048,0.00871208
1049,0.01021066
1050,0.01096799
1051,0.01255842
1052,0.01154712
1053,0.01196774
1054,0.01227530
1055,0.01204014
1056,0.00979010
1057,0.00737247
1058,0.00824153
1059,0.01111619
1060,0.01667861
1061,0.01997800
1062,0.02487663
1063,0.03184140
1064,0.05219569
1065,0.05666963
1066,0.03558861
1067,0.02505945
1068,0.02858375
1069,0.03078849
1070,0.03883592
1071,0.04218315
1072,0.03873747
1073,0.03628477
1074,0.03518385
1075,0.03384488
1076,0.03012585
1077,0.02932228
1078,0.02747796
1079,0.03008391
1080,0.03376407
1081,0.03386142
1082,0.03398829
1083,0.03374936
1084,0.03385854
1085,0.03450623
1086,0.03473968
1087,0.03493529
1088,0.03529980
1089,0.03179266
1090,0.03260414
1091,0.03236509
1092,0.03200879
1093,0.03121177
1094,0.03224404
1095,0.03310756
1096,0.03399747
1097,0.03412652
1098,0.03881389
1099,0.03976524
1100,0.04225473
1101,0.04401279
1102,0.04408484
1103,0.04733760
1104,0.04308989
1105,0.04277052
1106,0.03800279
1107,0.03305293
1108,0.02963370
1109,0.02790130
1110,0.02541738
1111,0.02520689
1112,0.02683631
1113,0.02729061
1114,0.02594269
1115,0.02432482
1116,0.02460164
1117,0.02783918
1118,0.03371974
1119,0.03456095
1120,0.03083899
1121,0.02786588
1122,0.02610451
1123,0.02591572
1124,0.02635005
1125,0.02609178
1126,0.02252439
1127,0.02047869
1128,0.01605874
1129,0.01761643
1130,0.02177591
1131,0.02160164
1132,0.02195527
1133,0.02197086
1134,0.01645286
1135,0.01207987
1136,0.01208884
1137,0.01374391
1138,0.01794388
1139,0.01768916
1140,0.01585605
1141,0.01598153
1142,0.01389621
1143,0.00973334
1144,0.01144621
1145,0.01049513
1146,0.01108194
1147,0.01704066
1148,0.02068348
1149,0.02353285
1150,0.02696046
1151,0.02785871
1152,0.03313789
1153,0.03783873
1154,0.04742531
1155,0.05161947
1156,0.05171571
1157,0.05293884
1158,0.05329964
1159,0.05204137
1160,0.05002037
1161,0.04794209
1162,0.04463174
1163,0.04726063
1164,0.04617111
1165,0.05033294
1166,0.05366107
1167,0.05562252
1168,0.04889009
1169,0.04871098
1170,0.04767515
1171,0.04454917
1172,0.04090074
